21.7458423550914,-158.29367995075,1
21.7458392587452,-158.292954694085,2
21.7458361592219,-158.292229437549,3
21.7458330565214,-158.291504181143,4
21.7458299506438,-158.290778924867,5
21.7458268415891,-158.29005366872,6
21.7458237293572,-158.289328412704,7
21.7458206139481,-158.288603156817,8
21.745817495362,-158.287877901061,9
21.7458143735987,-158.287152645435,10
21.7458112486582,-158.286427389939,11
21.7458081205407,-158.285702134574,12
21.745804989246,-158.28497687934,13
21.7458018547741,-158.284251624237,14
21.7457987171252,-158.283526369264,15
21.7457955762991,-158.282801114423,16
21.745792432296,-158.282075859713,17
21.7457892851157,-158.281350605135,18
21.7457861347583,-158.280625350688,19
21.7457829812238,-158.279900096373,20
21.7457798245121,-158.279174842189,21
21.7457766646234,-158.278449588137,22
21.7457735015576,-158.277724334218,23
21.7457703353147,-158.276999080431,24
21.7457671658946,-158.276273826776,25
21.7457639932975,-158.275548573253,26
21.7457608175233,-158.274823319863,27
21.745757638572,-158.274098066606,28
21.7457544564436,-158.273372813482,29
21.7457512711381,-158.272647560491,30
21.7457480826555,-158.271922307632,31
21.7457448909959,-158.271197054908,32
21.7457416961592,-158.270471802316,33
